admin,python -m unittest test_commands.py
admin,python -m unittest test_commands.py
admin,test_commands.py
admin,test_commands.py
admin,exit
admin,python -m unittest test_commands.py
admin,test_commands.py
admin,python shell_emulator.py
admin,ls
admin,clear
admin,cat file1.txt
admin,cat file1.txt
admin,python3 shell_emulator.py
admin,cat file1.txt
admin,cat dir1/file1.txt
admin,clear
admin,cat dir2/file2.txt
admin,clear
admin,cls
admin,cls
admin,cat dir1/file1.txt
admin,cat dir2/file2.txt
admin,clear
admin,cat dir2/file2.txt
admin,clear
admin,cd ..
admin,exit
admin,ls
admin,cd dir1
admin,"cd(""dir1"", ""/"")"
admin,"""cd dir1"
admin,"""cd dir1"""
admin,"command = ""cd dir1"""
admin,ls
admin,cd dir1
admin,cd 'dir1'
admin,pwd
admin,cd virtual_files.zip
admin,cd file1
admin,cd ..
admin,cd/
admin,cd //
admin,cd dir1
admin,cat file1
admin,cat dile1.txt
admin,cat file1.txt
admin,ls -1
admin,ls -a
admin,ls
admin,cd //
admin,ls -1
admin,ls dir1
admin,ls <dir1>
admin,ls <file1.txt>
admin,ls file1
admin,ls file1.txt
admin,ls -1
admin,exit
admin,ls -1
admin,ls
admin,exit
admin,
admin,ls
admin,ls -1
admin,cd //
admin,ls
admin,cd dir1
admin,exit
admin,ls
admin,cd dir1
admin,exit
admin,ls
admin,cd dir1
admin,ls
admin,ls dir1
admin,exit
admin,ls
admin,vfs
admin,ls dir 1
admin,ls dir1
admin,clear
admin,exit
admin,clear
admin,ls
admin,dir1
admin,ls dir1
admin,/dir1
admin,ls /dir1
admin,ls
admin,cd //
admin,clear
admin,cd dir1
admin,cd file.txt
admin,cat file1.txt
admin,cd dir2
admin,exit
admin,cd dir1
admin,cd //
admin,cd dir2
admin,cat file2.txt
admin,cd //
admin,cat file1.txt
admin,clear
admin,ls
admin,cd //
admin,clear
admin,cd dir1
admin,cat file1.txt
admin,ls
admin,cd //
admin,cd ..
admin,cd dir1
admin,cat file1.txt
admin,cd ..
admin,cd dir2
admin,cat file2.txt
admin,cd ..
admin,clear
admin,ls
admin,cd dir1
